# T0 = 0.400000 P = 16.000000 z = 0.500000 g = 1.941626 alpha = 0.010000 Process = G_GG
t Rate
0.648 0.0120657 -3.46368e-06
0.649 0.0120733 -7.55802e-06
0.65 0.0120772 -3.89777e-06
0.651 0.01208 -2.81757e-06
0.652 0.0120832 -3.2039e-06
0.653 0.0120839 -6.58995e-07
0.654 0.0120816 2.2341e-06
0.655 0.0120792 2.43866e-06
0.656 0.012081 -1.81844e-06
0.657 0.0120814 -3.4352e-07
0.658 0.0120822 -8.09402e-07
0.659 0.0120842 -2.05951e-06
0.66 0.0120906 -6.35774e-06
0.661 0.0120945 -3.94265e-06
0.662 0.0121023 -7.79785e-06
0.663 0.0121055 -3.13729e-06
0.664 0.012113 -7.52213e-06
0.665 0.0121195 -6.50331e-06
0.666 0.0121226 -3.14902e-06
0.667 0.0121237 -1.03685e-06
0.668 0.0121255 -1.84577e-06
0.669 0.0121248 6.8219e-07
0.67 0.0121284 -3.54678e-06
0.671 0.0121292 -7.93391e-07
0.672 0.0121288 3.71798e-07
0.673 0.0121311 -2.33013e-06
0.674 0.01213 1.10604e-06
0.675 0.0121378 -7.73344e-06
0.676 0.0121448 -7.01297e-06
0.677 0.0121534 -8.58355e-06
0.678 0.012152 1.40365e-06
0.679 0.0121573 -5.34269e-06
0.68 0.0121646 -7.2962e-06
0.681 0.0121726 -8.0241e-06
0.682 0.0121754 -2.72154e-06
0.683 0.0121752 1.6578e-07
0.684 0.0121756 -3.65204e-07
0.685 0.012177 -1.47037e-06
0.686 0.0121794 -2.39689e-06
0.687 0.0121809 -1.4671e-06
0.688 0.0121856 -4.69676e-06
0.689 0.012184 1.62141e-06
0.69 0.0121905 -6.56386e-06
0.691 0.0121974 -6.84299e-06
0.692 0.0122064 -9.03311e-06
0.693 0.0122127 -6.2529e-06
0.694 0.0122175 -4.82067e-06
0.695 0.0122239 -6.37569e-06
0.696 0.0122282 -4.36634e-06
0.697 0.012234 -5.78855e-06
0.698 0.0122388 -4.78553e-06
0.699 0.012238 8.24883e-07
0.7 0.0122377 2.98869e-07
0.701 0.0122378 -1.0738e-07
0.702 0.0122409 -3.14297e-06
0.703 0.012244 -3.12912e-06
0.704 0.0122436 4.40802e-07
